[2023-10-04 21:14:28,123] Start:65.2
[2023-10-04 21:14:31,299] Itteratie:1
[2023-10-04 21:14:31,299] Oplossing:64.3
[2023-10-04 21:14:34,493] Itteratie:2
[2023-10-04 21:14:37,678] Itteratie:3
[2023-10-04 21:14:37,678] Oplossing:64.0
[2023-10-04 21:14:40,855] Itteratie:4
[2023-10-04 21:14:40,855] Oplossing:63.05
[2023-10-04 21:14:44,022] Itteratie:5
[2023-10-04 21:14:47,236] Itteratie:6
[2023-10-04 21:14:47,239] Oplossing:62.699999999999996
[2023-10-04 21:14:50,437] Itteratie:7
[2023-10-04 21:14:53,653] Itteratie:8
[2023-10-04 21:14:53,653] Oplossing:62.5
[2023-10-04 21:14:56,999] Itteratie:9
[2023-10-04 21:15:00,347] Itteratie:10
[2023-10-04 21:15:00,347] Oplossing:61.49999999999999
[2023-10-04 21:15:03,513] Itteratie:11
[2023-10-04 21:15:06,830] Itteratie:12
[2023-10-04 21:15:06,835] Oplossing:61.449999999999996
[2023-10-04 21:15:09,969] Itteratie:13
[2023-10-04 21:15:13,292] Itteratie:14
[2023-10-04 21:15:16,538] Itteratie:15
[2023-10-04 21:15:19,805] Itteratie:16
[2023-10-04 21:15:22,995] Itteratie:17
[2023-10-04 21:15:22,995] Oplossing:61.349999999999994
[2023-10-04 21:15:26,297] Itteratie:18
[2023-10-04 21:15:29,487] Itteratie:19
[2023-10-04 21:15:32,658] Itteratie:20
[2023-10-04 21:15:32,658] Oplossing:61.3
[2023-10-04 21:15:35,943] Itteratie:21
[2023-10-04 21:15:39,124] Itteratie:22
[2023-10-04 21:15:42,463] Itteratie:23
[2023-10-04 21:15:45,632] Itteratie:24
[2023-10-04 21:15:45,632] Oplossing:60.75
[2023-10-04 21:15:48,785] Itteratie:25
[2023-10-04 21:15:52,126] Itteratie:26
[2023-10-04 21:15:55,260] Itteratie:27
[2023-10-04 21:15:55,275] Oplossing:60.14999999999999
[2023-10-04 21:15:58,410] Itteratie:28
[2023-10-04 21:15:58,410] Oplossing:59.849999999999994
[2023-10-04 21:16:01,586] Itteratie:29
[2023-10-04 21:16:04,922] Itteratie:30
[2023-10-04 21:16:08,064] Itteratie:31
[2023-10-04 21:16:08,081] Oplossing:59.6
[2023-10-04 21:16:11,237] Itteratie:32
[2023-10-04 21:16:14,415] Itteratie:33
[2023-10-04 21:16:17,794] Itteratie:34
[2023-10-04 21:16:17,797] Oplossing:59.00000000000001
[2023-10-04 21:16:20,946] Itteratie:35
[2023-10-04 21:16:24,200] Itteratie:36
[2023-10-04 21:16:24,200] Oplossing:58.7
[2023-10-04 21:16:27,349] Itteratie:37
[2023-10-04 21:16:30,737] Itteratie:38
[2023-10-04 21:16:30,752] Oplossing:58.449999999999996
[2023-10-04 21:16:33,896] Itteratie:39
[2023-10-04 21:16:37,068] Itteratie:40
[2023-10-04 21:16:40,226] Itteratie:41
[2023-10-04 21:16:40,226] Oplossing:57.85
[2023-10-04 21:16:43,402] Itteratie:42
[2023-10-04 21:16:43,402] Oplossing:57.800000000000004
[2023-10-04 21:16:47,109] Itteratie:43
[2023-10-04 21:16:50,359] Itteratie:44
[2023-10-04 21:16:53,535] Itteratie:45
[2023-10-04 21:16:56,741] Itteratie:46
[2023-10-04 21:16:59,929] Itteratie:47
[2023-10-04 21:17:03,419] Itteratie:48
[2023-10-04 21:17:06,594] Itteratie:49
[2023-10-04 21:17:09,768] Itteratie:50
[2023-10-04 21:17:12,937] Itteratie:51
[2023-10-04 21:17:16,116] Itteratie:52
[2023-10-04 21:17:19,271] Itteratie:53
[2023-10-04 21:17:22,788] Itteratie:54
[2023-10-04 21:17:25,948] Itteratie:55
